id_entrada;valor;vigencia;id_pelicula;id_cliente;id_horario
0;300;0;30;11;107
1;3000;1;32;48;40
2;1700;1;3;19;310
3;900;0;34;33;171
4;3000;1;16;53;202
5;900;1;21;42;228
6;1700;0;5;37;6
7;300;1;4;5;53
8;900;0;15;34;157
9;1700;1;34;16;351
10;900;0;33;15;39
11;300;1;32;37;56
12;3000;1;17;61;202
13;900;1;20;2;262
14;900;1;18;61;208
15;300;1;7;68;326
16;900;0;25;9;89
17;1700;0;33;54;245
18;3000;1;31;66;348
19;300;1;25;75;73
20;900;0;31;52;121
21;300;1;10;18;178
22;3000;0;4;30;186
23;3000;1;17;61;2
24;900;1;3;39;320
25;300;1;15;75;97
26;3000;0;23;79;31
27;900;1;29;74;291
28;1700;0;21;1;10
29;900;0;23;54;167
30;300;0;12;10;159
31;900;0;21;21;317
32;3000;1;17;57;306
33;300;1;28;21;286
34;3000;1;9;30;170
35;1700;0;13;40;255
36;300;0;14;43;105
37;3000;1;17;60;275
38;900;1;20;0;57
39;300;1;9;25;236
40;1700;0;9;63;163
41;900;0;3;17;207
42;3000;0;24;17;133
43;300;1;24;74;53
44;3000;0;0;37;57
45;900;0;1;71;263
46;900;0;31;8;319
47;300;0;29;51;86
48;3000;0;13;66;229
49;1700;1;31;2;126
50;900;0;29;78;22
51;300;1;15;35;229
52;300;1;9;40;53
53;900;0;21;26;306
54;1700;0;23;68;30
55;300;1;22;63;12
56;1700;0;5;22;146
57;900;0;24;10;323
58;300;1;3;12;316
59;3000;1;16;29;320
60;1700;0;31;40;95
61;900;0;23;72;267
62;3000;0;33;67;184
63;1700;0;10;5;292
64;900;1;23;69;37
65;900;0;11;79;275
66;300;0;0;73;267
67;1700;1;8;20;19
68;300;1;18;75;122
69;900;1;10;33;276
70;3000;1;16;14;146
71;1700;0;29;6;182
72;900;0;34;26;251
73;1700;1;29;5;248
74;900;1;1;58;7
75;300;1;10;77;212
76;300;1;4;54;61
77;900;0;8;38;321
78;1700;0;25;45;63
79;300;0;3;42;172
80;3000;1;0;26;356
81;300;1;15;13;230
82;1700;1;32;34;118
83;3000;0;18;46;119
84;900;1;25;21;33
85;1700;0;30;61;67
86;300;1;29;76;148
87;3000;0;1;5;101
88;900;1;24;62;157
89;900;1;17;24;108
90;300;1;20;53;62
91;3000;0;20;36;225
92;900;0;3;46;297
93;1700;1;17;1;215
94;3000;0;16;18;223
95;900;1;25;64;29
96;1700;0;16;76;334
97;300;0;18;49;290
98;300;0;26;17;324
99;900;0;25;45;239
100;1700;0;1;56;259
101;3000;1;12;53;221
102;300;1;6;66;146
103;3000;1;28;71;261
104;900;1;2;3;45
105;1700;0;31;72;67
106;3000;0;18;57;82
107;300;1;1;34;141
